Capacity,SOC,OCV,DCIR
2800,1.00,4.2,0.02
2500,0.89,4.1,0.02
2200,0.79,3.9,0.02
1900,0.68,3.8,0.02
1600,0.57,3.7,0.02
1300,0.46,3.6,0.02
1000,0.36,3.5,0.02
700,0.25,3.4,0.02
400,0.14,3.3,0.02
300,0.11,3.25,0.02
200,0.07,3.1,0.02
100,0.04,3,0.02
0,0.00,2.5,0.02
