Option,kv Rating,Amps,Voltage,Series,Mass,Mass,Cost $
1,11000,8.5,4.2,1,0.01,0.01,10.94
2,4500,20,8.4,2,0.064,0.064,17.31
3,4900,26,12.6,3,0.055,0.055,18.45
4,1980,24,33.6,8,0.125,0.125,24.1
5,5400,135,12.6,3,0.2,0.2,24.92
6,2900,58,25.2,6,0.16,0.16,25.51
7,3650,48,16.8,4,0.125,0.125,25.69
8,2100,63,25.2,4,0.275,0.275,25.69
9,1650,70,33.6,8,0.31,0.31,35.36
10,2000,120,25.2,4,0.38,0.38,48.31
